10
1 2 3 4 5 6 7 8 9 10
0 2538.94 2873.8 2575.27 2318.1 2158.71 2216.58 3174.04 3371.13 3540.24 
2538.94 0 1073.54 111.288 266.835 395.032 410.118 637.942 853.554 1055 
2873.8 1073.54 0 964.495 988.636 1094.32 1382.73 1240.15 1460.25 1687 
2575.27 111.288 964.495 0 262.053 416.707 503.563 624.725 854.916 1068.42 
2318.1 266.835 988.636 262.053 0 163.355 395.14 885 1110.86 1318.19 
2158.71 395.032 1094.32 416.707 163.355 0 338.634 1030.34 1248.58 1447.69 
2216.58 410.118 1382.73 503.563 395.14 338.634 0 984.068 1160.26 1323.7 
3174.04 637.942 1240.15 624.725 885 1030.34 984.068 0 243.417 473.768 
3371.13 853.554 1460.25 854.916 1110.86 1248.58 1160.26 243.417 0 232.112 
3540.24 1055 1687 1068.42 1318.19 1447.69 1323.7 473.768 232.112 0 
