12
A B C D E F G H I J K L 
0 2538.94 2873.8 2575.27 2318.1 2158.71 2216.58 3174.04 3371.13 3540.24 1737 1375.39 
2538.94 0 1073.54 111.288 266.835 395.032 410.118 637.942 853.554 1055 910.192 1163.79 
2873.8 1073.54 0 964.495 988.636 1094.32 1382.73 1240.15 1460.25 1687 1201.66 1687.12 
2575.27 111.288 964.495 0 262.053 416.707 503.563 624.725 854.916 1068.42 907.23 1204.14 
2318.1 266.835 988.636 262.053 0 163.355 395.14 885 1110.86 1318.19 648.526 952.007 
2158.71 395.032 1094.32 416.707 163.355 0 338.634 1030.34 1248.58 1447.69 522.644 789.744 
2216.58 410.118 1382.73 503.563 395.14 338.634 0 984.068 1160.26 1323.7 776.171 857.149 
3174.04 637.942 1240.15 624.725 885 1030.34 984.068 0 243.417 473.768 1531.95 1798.74 
3371.13 853.554 1460.25 854.916 1110.86 1248.58 1160.26 243.417 0 232.112 1759.38 1998.91 
3540.24 1055 1687 1068.42 1318.19 1447.69 1323.7 473.768 232.112 0 1965.11 2175.68 
1737 910.192 1201.66 907.23 648.526 522.644 776.171 1531.95 1759.38 1965.11 0 493.782 
1375.39 1163.79 1687.12 1204.14 952.007 789.744 857.149 1798.74 1998.91 2175.68 493.782 0 
