150
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 
0 576.646 188.062 410.037 139.097 656.54 76.226 110.228 630.848 168.204 752.143 559.962 543.338 396.448 329.859 302.88 777.318 339.598 595.986 462.649 329.602 301.637 475.071 588.336 444.44 285.129 589.289 644.59 533.892 89.0319 571.134 463.054 270.258 40.1728 172.429 697.448 606.123 487.213 635.596 613.385 603.117 602.276 489.475 416.426 434.575 372.202 539.487 104.07 488.103 498.696 465.037 231.798 583.921 349.351 452.007 307.389 637.026 462.693 295.375 723.085 703.283 235.82 104.105 445.451 404.556 752.313 475.363 501.563 669.971 545.18 435.716 456.432 86.9228 575.264 310.419 59.0295 386.027 327.255 274.711 393.179 494.689 115.268 358.692 87.4832 391.679 521.947 21.0398 236.699 118.11 368.231 524.013 335.4 194.214 211.807 110.339 136.028 182.994 12.4814 619.486 175.729 575.847 601.16 24.6287 398.785 295.72 513.509 113.87 552.164 461.309 504.714 289.782 483.057 165.235 622.943 388.461 561.357 664.121 616.939 517.878 575.097 238.59 390.393 584.407 163.025 298.721 236.86 653.891 464.448 554.941 723.909 434.207 467.54 341.327 388.844 522.974 510.479 541.028 390.476 579.112 750.763 424.107 348.514 202.302 509.757 504.894 262.364 489.366 769.704 270.45 378.754 
576.646 0 591.148 666.206 488.824 81.9312 500.66 470.806 68.7703 524.981 325.28 220.486 633.061 422.453 428.003 403.659 433.613 311.345 45.8299 136.279 540.667 646.805 339.422 216.949 138.695 295.115 471.264 86.3535 54.4933 507.653 497.302 320.55 336.703 553.549 423.786 271.911 38.1426 327.102 338.931 155.04 365.533 63.4176 228.771 593.436 647.069 232.38 80.3477 560.432 439.478 143.267 174.343 392.411 176.257 268.725 159.844 269.424 365.893 139.854 428.372 412.827 281.634 599.032 534.901 541.864 224.985 425.272 274.84 715.423 264.639 111.661 624.311 454.339 590.686 598.494 289.554 602.174 370.162 451.144 457.051 434.087 82.0255 592.244 220.715 493.723 298.297 85.1914 590.393 505.443 470.813 218.001 707.363 271.919 396.453 502.096 560.401 469.029 412.267 564.228 77.792 462.073 316.009 120.563 555.388 692.644 349.639 650.958 529.371 89.5483 211.709 77.8063 365.522 540.375 535.19 101.093 614.918 281.829 443.749 219.164 720.507 80.9391 464.714 395.699 564.846 414.673 610.276 359.504 271.8 683.406 431.529 361.747 322.445 222.764 385.847 266.631 114.8 553.436 182.498 236.584 125.394 496.837 155.052 320.618 453.794 439.132 485.782 314.685 440.803 368.265 606.703 615.232 
188.062 591.148 0 222.192 297.678 661.948 191.412 183.538 629.793 68.3243 681.515 502.699 366.737 273.991 214.98 211.04 677.221 444.399 622.402 458.013 161.924 114.802 379.501 532.378 452.719 345.972 454.63 639.719 561.74 145.741 427.789 375.683 255.05 155.4 185.708 634.523 611.633 395.49 543.955 578.688 500.636 597.29 434.717 238.055 248.935 359.61 532.484 86.9623 357.053 556.914 438.819 199.123 541.185 324.865 508.481 342.689 537.322 511.838 190.579 620.208 638.111 47.9991 101.603 281.352 481.312 650.381 404.528 313.743 605.379 595.265 253.058 319.892 103.532 407.949 391.392 138.661 288.454 200.582 158.841 266.102 515.201 303.248 403.578 175.173 497.83 560.781 173.79 101.258 167.706 374.438 337.202 319.506 211.498 92.8141 294.664 149.026 298.017 188.655 651.636 326.219 487.358 650.287 199.658 211.35 245.98 331.927 289.065 595.234 419.143 513.42 231.679 321.671 59.0653 662.302 204.569 483.649 544.646 561.615 330.214 563.64 134.463 280.302 425.309 225.572 111.526 237.562 585.059 277.096 429.227 636.529 349.694 551.763 246.552 343.598 573.15 347.759 613.031 362.577 553.043 628.403 458.943 458.939 352.735 379.478 360.112 315.982 357.913 688.452 82.7804 194.309 
410.037 666.206 222.192 0 508.2 720.236 402.328 383.575 684.156 257.138 645.801 507.534 177.883 249.529 240.044 271.862 600.286 613.403 706.483 531.742 130.905 114.584 358.317 534.104 540.439 497.766 348.761 688.855 653.541 355.05 309.914 367.854 373.646 375.724 356.024 613.888 675.011 375.646 494.745 600.344 441.731 650.848 455.886 84.9925 43.7677 446.423 592.003 307.069 281.794 677.759 492.95 329.517 558.213 409.676 632.886 476.126 476.961 629.389 248.905 544.664 614.107 174.26 315.554 156.976 625.648 573.202 411.929 91.552 585.882 705.006 67.0258 246.819 325.498 239.071 549.914 360.073 297.753 217.223 229.369 237.384 605.494 524.993 532.805 382.825 663.188 663.318 395.961 211.022 364.546 475.706 117.01 414.508 372.661 232.929 514.658 338.445 489.931 409.965 738.866 531.503 451.973 754.393 420.195 39.9367 335.715 130.929 505.937 698.328 459.16 592.139 319.868 188.682 254.983 755.862 51.3465 464.409 451.747 559.901 108.112 614.106 243.846 273.895 273.667 407.376 111.611 376.272 562.404 56.1442 344.994 582.058 354.105 695.513 281.411 400.119 685.072 203.155 741.345 432.79 588.301 521.498 570.677 630.554 556.223 299.003 255.512 468.905 281.592 637.532 139.586 51.7251 
139.097 488.824 297.678 508.2 0 570.712 106.699 126.911 550.3 251.062 714.823 522.935 613.269 425.515 363.596 326.235 762.179 212.814 499.792 396.137 403.291 411.164 474.403 548.389 370.686 196.97 612.352 565.885 440.015 153.771 603.178 457.32 247.72 150.387 177.586 656.685 522.535 482.39 619.951 556.576 598.021 525.754 456.526 494.576 524.233 323.235 468.188 212.492 514.784 388.45 413.71 237.316 534.645 313.429 345.575 234.579 627.75 360.051 329.431 712.323 663.924 341.046 196.341 505.512 289.213 739.609 455.817 597.476 631.754 437.344 519.352 490.454 213.337 631.959 201.903 195.159 397.719 369.879 321.303 426.241 408.148 103.504 269.358 125.403 261.575 421.943 160.075 305.969 146.481 305.94 614.597 295.887 180.905 280.833 71.8184 174.304 78.4746 129.718 518.881 37.5082 561.381 491.62 115.56 505.123 291.119 592.307 41.3304 448.063 421.995 425.3 292.879 537.88 253.615 518.059 476.425 539.584 669.969 574.75 612.427 504.489 288.809 410.834 631.478 131.328 398.281 214.689 619.67 558.56 572.208 700.638 429.593 344.739 358.509 361.355 416.142 565.091 421.589 349.9 518.329 755.567 334.047 218.366 63.2943 534.092 542.343 186.355 516.286 739.83 373.046 468.197 
656.54 81.9312 661.948 720.236 570.712 0 580.399 549.656 36.6813 597.085 288.235 237.531 669.578 471.988 486.504 466.478 408.188 390.972 87.2224 204.01 598.788 710.271 376.487 223.757 214.048 376.512 490.459 39.5344 133.813 585.466 521.303 360.549 409.769 632.35 500.261 243.764 50.9311 361.821 338.424 148.535 375.131 69.4572 267.778 643.567 697.544 302.547 130.848 636.127 474.876 214.354 229.639 464.757 184.705 337.171 238.55 349.165 367.323 219.381 491.086 398.009 253.087 666.511 610.897 586.575 303.776 404.878 314.121 762.299 245.396 172.606 673.571 495.099 667.308 628.323 371.402 680.225 422.504 509.481 521.206 484.004 163.13 674.108 302.258 572.693 374.095 160.223 669.789 572.38 548.749 293.274 751.111 342.88 473.249 571.213 642.255 545.458 494.013 644.165 95.5478 543.99 329.73 154.645 635.646 749.137 417.23 692.407 611.21 151.36 261.128 152.533 432.549 580.02 607.382 119.521 668.941 298.47 445.973 215.05 765.842 106.261 532.314 446.569 591.033 493.999 672.828 434.834 259.149 732.511 454.844 339.606 368.245 292.526 444.308 326.728 183.268 589.871 238.207 301.114 139.193 486.301 236.792 399.256 535.521 470.867 519.993 395.258 476.027 333.958 671.583 670.279 
76.226 500.66 191.412 402.328 106.699 580.399 0 37.8298 554.622 145.496 680.897 488.071 515.174 344.505 279.034 246.648 711.702 276.722 520.674 386.652 302.346 304.502 412.257 516.011 368.217 210.714 536.5 568.372 458.472 47.2932 522.254 398.471 198.171 58.3763 103.419 625.356 529.944 423.149 569.256 538.564 539.811 526.077 418.003 393.078 419.931 297.277 463.39 107.919 436.118 426.431 390.371 166.222 510.014 276.065 379.094 231.297 572.586 388.884 243.957 658.577 631.482 234.352 89.8456 410.491 334.797 687.329 406.917 492.188 598.29 472.043 416.469 407.536 116.43 539.211 240.035 110.413 326.585 280.909 229.402 343.068 418.752 145.071 283.558 21.5333 330.148 447.376 90.1566 204.86 52.6767 292.208 510.413 261.381 121.52 179.193 123.088 78.7268 119.23 63.9682 544.703 135.139 509.516 528.198 57.4618 398.494 228.886 491.158 106.239 478.195 388.427 428.504 225.288 445.328 147.381 548.882 372.265 492.947 604.919 544.314 507.423 499.066 194.372 334.551 543.094 86.8351 291.916 163.961 582.983 453.489 499.485 655.864 369.673 400.284 283.304 317.647 449.714 472.833 471.609 316.842 503.787 691.569 348.665 287.897 161.982 456.928 458.11 186.844 437.499 700.167 266.417 363.676 
110.228 470.806 183.538 383.575 126.911 549.656 37.8298 0 522.89 127.583 643.642 450.968 487.048 309.193 244.403 210.646 673.873 266.377 492.826 353.3 276.386 292.247 374.636 479.067 336.372 186.568 500.523 536.221 430.484 42.9022 487.277 360.708 160.966 82.7443 65.6046 588.349 498.961 385.413 531.427 503.157 502.1 493.696 380.752 367.665 397.94 261.994 430.377 109.334 400.515 404.121 354.81 128.59 473.86 239.47 356.08 201.732 534.798 364.381 209.427 620.779 594.38 222.044 85.502 380.4 316.345 649.513 369.156 471.882 561.145 448.286 392.55 372.849 128.546 508.142 222.019 132.418 289.556 247.743 197.244 308.284 389.245 180.992 256.986 23.1543 320.211 421.276 120.757 179.073 19.5707 259.061 488.168 225.252 84.4203 154.032 156.884 47.4982 114.644 98.6187 517.956 147.932 471.686 504.527 94.191 383.178 191.069 465.423 136.171 453.091 351.678 397.289 187.659 414.055 131.894 523.443 350.107 455.198 567.654 507.493 486.542 465.759 163.356 298.271 510.281 56.9151 275.352 127.053 545.629 432.795 462.971 618.106 331.922 384.106 246.684 280.278 425.847 441.465 452.648 280.47 468.981 654.269 320.955 279.43 172.981 421.072 423.875 160.187 401.923 662.573 251.815 342.114 
630.848 68.7703 629.793 684.156 550.3 36.6813 554.622 522.89 0 565.598 268.016 201.753 632.99 435.66 451.248 432.139 383.771 379.066 93.2011 172.946 563.331 675.756 339.812 189.274 186.528 354.351 455.194 17.6044 123.209 557.62 485.517 323.881 379.229 605.38 471.522 219.312 30.6315 325.179 306.205 115.472 341.048 33.4683 231.149 607.179 661.16 271.245 97.3463 606.571 438.269 211.214 194.835 433.674 149.537 304.967 228.299 324.138 334.809 208.073 456.673 369.919 228.892 633.14 581.586 549.943 293.267 378.64 277.46 725.704 217.69 175.312 637.115 458.419 638.359 592.095 353.713 652.443 386.494 474.163 487.09 447.696 142.696 653.333 280.948 546.009 367.054 153.703 643.436 538.964 521.086 264.692 714.44 311.654 444.825 538.535 621.43 516.579 472.767 618.549 112.258 525.11 294.821 169.019 610.516 713.337 384.38 655.726 590.311 153.102 225.235 126.425 399.466 543.346 575.918 138.037 632.887 263.041 413.563 182.656 729.199 70.0569 499.179 410.379 555.093 467.897 638.138 405.505 229.51 696.028 419.045 313.658 331.774 290.667 409.121 292.217 181.701 553.267 244.65 267.855 102.842 457.235 216.821 388.82 518.211 434.415 483.448 371.243 439.425 312.792 637.455 634.341 
168.204 524.981 68.3243 257.138 251.062 597.085 145.496 127.583 565.598 0 632.468 448.398 375.994 240.448 175.497 160.64 638.269 379.788 555.341 393.097 161.87 165.734 335.773 478.049 386.338 278.345 430.418 576.099 494.377 98.4047 408.628 328.803 188.313 128.944 118.397 582.933 546.525 350.561 500.83 519.838 461.291 533.451 378.904 250.551 274.667 294.552 468.496 69.7922 329.781 488.591 376.947 132.588 483.745 260.885 440.163 274.365 497.209 443.543 144.773 582.005 587.18 96.4164 64.3421 277.334 413.691 611.994 352.697 346.708 554.038 527.032 272.282 295.377 103.984 407.125 324.75 136.987 243.466 167.26 116.909 234.961 448.161 277.533 335.254 125.701 432.829 492.836 160.822 69.3507 109.323 307.564 365.143 254.205 143.558 46.3794 262.499 86.0394 239.038 164.28 584.265 275.16 442.512 582.136 171.54 255.598 184.396 348.456 250.525 527.196 360.137 447.414 171.434 315.304 10.3364 594.546 227.139 435.091 513.196 507.399 361.928 500.524 83.79 240.631 417.38 161.722 147.848 169.431 534.779 307.993 399.885 592.614 301.272 484.305 198.99 283.902 504.895 342.642 544.869 299.869 492.299 598.871 390.885 394.956 300.519 352.051 341.351 248.264 330.882 642.79 124.427 218.355 
